first_wak,second_wak,third_wak,fourth_wak,fifth_wak,sixth_wak,seventh_wak,eighth_wak
ธาดามังราชเจ้า,จุพาลักษณ์,สาส่วนเป็นอารักษ์,ใฝ่เฝ้า,อังเชิญส่งสารอัคร,ชาเยศ มารา,เป็นดังฤาร้างเจ้า,จากข้าใครโลม
ดั่งฤาร้างแก้วก่อน,คำสัง,รอยแม่งสารีรัง,นิราศรื้อ,บพิตรพระเมืองมัง,รายราช รักษ์เอย,เชิญต่ำนวายนั้นหื้อ,ค่อยแก้คำสนอง
อรรณพขวางขั้นขอบ,พิงเพิง รอดเอย,ผืนแผ่นลุยลงเลิง,ลวดยั้ง,คองเห็นพี่รักเทิง,ใจเช่น ครานี,ยลอื่นใส่เศียรตั้ง,ต่อไว้วรรคเรียม
นทีหันแห้งไป่,พอเรือ,เกวียนกว่าชุมชนเฝือ,ว่งหว้าย,สารถีสั่นสายเยือ,ยังเชือก ชักแฮ,ดักค่วนคุงค่าท้าย,ถีบพ้นปาระเลือม
ม่อนยังยั้งหั้นร่ม,เรียงรึก,วานเทพทั้งไพรพฤกษ์,น่าน้อง,โพคินทั่วทังทึก,แถวน่าน นี้แม่,เชิญส่งสารพื้นพ้อง,ข่าวข้าขอยิน
วานไม้เมื่อข่าวม้อง,ขอไข,เหลือหล่นบกบางใบ,กิ่งก้าน,บ่เห็นภิรมย์ใจ,เจียนจาก ห้องเฮย,เห็นโบกใบไม้ม้าน,เยี่ยงม้านมโนเรียม
น่านน้ำขลุงน่านน้ำ,เขินขุน,อกชเลยังวุน,เล่าแล้ง,อังเดิรหากอาดุร,แดเดือด รสแฮ,เห็นหาดหนหั้นแห้ง,เยี่ยงแห้งแถวถนอม
พระไทรเจ้าไม้มุ่ง,เมืองคู่ แดรา,ปดที่ทนทุกข์ทู,เรศแจ้ง,จักกินมิได้กู,ระนาพี่ เทานอ,วาเยศยังไล่แล้ง,ลอดแล้งอกเรียม
คณารถเร้นร่ม,เต็มไพร พี่แม่,ปานค่อยชมพูไพ,น่านน้อง,ยลคืนชั่วพิสัย,ตาเล่า ยังแฮ,ละเลิ่นเป็นถ้อยถ้อง,เผ่าย้ายยินประเหียน
ชุมชนชมชื่นเหล้น,ธารา,สาวบ่าวลงสนามปา,โมชย้าย,สาอวรอรวนิดา,โดยพี่ มานี,จักจ่องจูงน้องผ้าย,อาบอ้อยชมชล
เผ่าสลวยสะอาดเท้า,เทิงเสลียง,เหมือนเมื่อพี่ชนูเมียง,มุ่งเหยี้ยม,พัตรทองทํ่านงเอียง,องค์อ่อน งามแฮ,บังอาจปานแสร้งเสี้ยม,แต่ฟ้าสลายเหลา
ลาพระประเทศขว้าง,ขุงลมิง มิ่งแฮ,เปี่ยวเป่งสุรินทยิง,ยิ่งร้อย,พนิดาแต่ถริง,ตากระหม่อม เรียมเฮย,มาด่วนดับทุกข์ข้อย,ข่าวเยี้ยมยังทอง
แม่เมือห้องฟากฟ้า,ใดที่ พู้นฤา,ฤาบดลปัฐพี,พี่ฟ้อน,ขุนเขาอุมาศรี,ไทแม่ เอาฤา,จำพี่งอนแล้วม้อน,มาดม้อนอาลัย
ทิพญาโจมหอบอุ้ม,เอาอวร อ่อนฤา,ฤาบมาสมสงวน,เพื่อนค้อย,บ่เห็นส่ำบุญปวน,บรเมศ เมินแฮ,ซอมซ่อตาแห่งห้อย,หากแล้งเลงดาย
กวาวทองทังช่อช้อย,สิมพลี,หลายหล่นเต็มปัฐพี,แผ่นหล้า,ยลบนหมู่ปักษี,แสวงเสพ ชุมเอย,ตายชื่อลางแล้วกล้า,มิได้เชยชม
สาลีรักร่ำถ้อย,ถึงแล แลแม่,ฤาริตเสียงซอแซ,ซ่ำซ้ำ,ชิงดวงดอกจอแจ,เถียงถ่อง กันนา,ร้อยร่างเสวยรสน้ำ,ดอกนั้นนารีรมย์
ฉายาเพยียไผ่ผุ้ง,เหลืองหลาย,สูรส่องยังรายราย,ร่มช้า,ฟังบนโบกสลายสลาย,เสียงสวาสดิ์ ลมแฮ,ปุนพี่ยังยั้งถ้า,ถ่อมถ้าถึงนิรมย์
จรทิตเทิงต่อหั้น,ลองแหลง,ข้อเขื่อนเข้าปูกแปง,ไต่เต้า,ทิพโสภิตยังแยง,หาสู่ ยามเอย,มาม่อนเรียงรสเข้า,ถ่านี้เรียงเรียม
อารามยังยิ่งร้อย,เรียงหลัง,สองตาบมักคาฝัง,ค่นค้าน,รอยเดิมแต่ยามยัง,งามเงื่อน รักเอย,เป็นที่พระเจ้าจ้าน,เสพสร้างวิริยา
มัจฉะยาเยศร้อย,ดวงแด แดเลย,พิษกำเดาปวนแปล,พรากชู้,พานุชว่ายยามแปร,เกวียนกว่า ป่นเอย,แถมกํ่าเดาข้าผู้,เร่นร้อนรนทรวง
ลุถึงยางหนุ่มหน้า,หนักทรวง อยู่แฮ,คิดถ่องถึงทิพดวง,ดอกฟ้า,รอยต้นรุนรสรวง,สวนเทพ พูนฤา,ฤาบยลเยื้อนข้า,ข่าวเหยี้ยมยังทวง
เนสาทผาดเผ่นผ้าย,เผาไพ พี่แฮ,พระพรืบเสียงฟองไฟ,เฝ่าฟุ้ง,อกพฤกษ์พนาลัย,สายเจ๊ด ม่อนแฮ,รักเทพดาดินดุ้ง,เดือดดุ้งอกเรียม
สิมพลีวันแว่นผ้ง,ผาผกา ดิฐแฮ,เพลิงพุ่งเพียงสาขา,ล่าล้อม,ติณังแฝกเฝือคา,คมบาด งามแฮ,แขมขวากเลาอ้ออ้อม,ดุจอ้อมอกเรียม
พฤกษาส่างต้นงอก,เงยโงะ,เขียงเคิบคุยพันโพละ,พลิบไม้,บุญบสกลร่างรวมโระ,อกพี่ เพานอ,นิราศเลียงร่อนไร้,เร่งร้อนไฟลน
ททิพรสซอยซอบนี้,รมเรียม ราศเอย,เจบจ่ำงือทวงเจียม,จากเจ้า,จักเอาอันใดเทียม,ตามอ่อน อวรฮา,ทุกข์พี่ยาร้อนเร้า,ถ่อมถ้าถนอมอวร
ลุถึงพิงเก่าหั้น,หัวฝาย,เกียนก่อนชุมยงยาย,ยอบยั้ง,พนิกพนมลาย,เหลือร่ม รุกข์แฮ,ไทว่าสมเจ้าจั้ง,จวบหั้นหาอวร
พพัดชูซ่อนอ้ำ,เห็นหัน,อักเขบสวนราอัน,ตอบต้อง,พาลีเลิกพันสัน,โกยพี่ นาแม่,ใดด่วนต่างเนื้อน้อง,นาฏได้ฟุ้งมโน
นาวาในน่านน้ำ,นทีทวาร,หัวดาษกำพลธาร,ดอกไม้,ฟกฟกช่อเชยปาน,เรือนาถ เมินเอย,นำชินังน้อมไหว้,หว่ายหว้ายคงคา
แสลวแสลวพายฟากฟุ้ง,สินธุ์สาย,แสนสนุกนานาหลาย,หลากเหล้น,ศัลเรียมกรรแสงฟาย,ฟองเนตร นุชเอย,ยลเยื่องใดจักเล้น,ล่อให้หายทรวง
ลุดาษถึงดาษต้น,รายเริง,ชมคณานองเนิง,นั่งพร้อม,ในดั่งดุจเมืองเทิง,เทพโลก พู้นแฮ,ริมร่มทุกค่าค้อม,ย่อมยั้งเยานอน
ยอมนุชเนื้ออ่อนอ้อน,เชยชิน นาแม่,อ่อยห่อยสรรเสริญยิน,ยิ่งล้ำ,อัปศรบำเรออินทร์,อัครเทพ ทิพเอย,อกอ่าวอำพลิกขว้ำ,เขือกร้อนรนเสน่ห์
เกษณาจันทน์แจ่มก้าน,กระลำพัก,ฝนขว่ายองค์อรอัคร,นุชเนื้อ,มะยักน่าลูบโลมมะยัก,เชียรเช่น งามเอย,ยลยิ่งขวานฟ้าเงื้อ,เงือดข้าขวัญสลาย
อัสดงค์ดาค่ำแล้ว,รอนรอน,สูรส่องเกวียนซอนซอน,คลาศคล้อย,ปักษีส่งเสียงวอน,วอนเจต รักเอย,โอ้เอนดูชูสร้อย,มิได้สุดาดล
ยินเสียงโนเรศร้อง,งุมงุม,คิดถ่อมถึงทิพจุม,แจ่มหน้า,ปักษีส่ำแสนชุม,ชมมิ่ง เมียเอย,หลอพี่แรมเร้นถ้า,ถ่อมชู้ชายฉงน
สาริรักร่ำถ้อย,โกกิล,ยะเยือกเสียงโยยิน,เยื่อซ้ำ,เททรวงเดือดเดพิน,พิศเรก ไปแฮ,เจ็บจำงือคลืดคล้ำ,คลอบเนื้อนพคุณ
นกเป้าจับเปล่าเป้า,เรรน,ขวานแขกเทบินบน,ร่ำร้อง,เรียมวานโผดแผดล,โดยพี่ พลันรา,บินบอกนุชเนื้อน้อง,พร่องเพื้อทิชาดล
