first_wak,second_wak,third_wak,fourth_wak,fifth_wak,sixth_wak,seventh_wak,eighth_wak
ว่าเรียมล่วงทุ่งล้ำ,ลำเนา เนินแฮ,ทรวงพี่เพียบโศกเซา,ซบเซ้า,รํ่ารักห่อนลืมเยาว์,ยอดเสน่ห์ เลยแม่,โขมดอย่าลืมเราเร้า,ร่ำซ้ำสั่งสาร
สั่งเสน่ห์โขมดแล้ว,ลีลา,พร้อมพวกจรนต์จรา,รีบเต้า,สู่ละแวกวิถีกา,นนทุเรศ,พอสุริยอัสดงเก้า,ล่วงฟ้าฟากโพยมฯ
เล็งดวงสุริเยศแปล้,ปลาบสาย เนตรนา,ยิบยิบระย่อปลาย,พฤกษ์พร้อย,เพียงพรรณทับทิมราย,ราวป่า,งามเงื่อนแพรสีห้อย,บ่าน้องเสนอโฉม
รอนรอนจวนลับไม้,รำไร,เลื่อนลิ่วเหลี่ยมไศล,ลับฟ้า,สุริยจากโลกไป,ปาตกลับ คืนแฮ,เรียมนิราศนุชหน้า,หนี่งน้องนานเห็น
ค่ำฝูงวิหคเข้า,คืนรัง,นิทรร่วมภิรมย์หวัง,วาสขู้,เรียมบำราศนุชยัง,นานกลับ คืนแม่,ฤๅห่อนจักได้รู้,ร่วมน้องวันไหน
ฝูงนกแนบนิทรไม้,นานา,เขาคุ่มขาบกระสา,แสกไสร้,ทิ้งทูดกระทากา,ลิงแขก เต้าแฮ,บ้างจับบ้างจิกไซร้,ปีกซ้องเสยขน
ดุเหว่ามยุเรศแก้ว,โกญจา,ตีวิดตระเวนหา,เหตุร้อง,กรอดกรอดระวังอา,รญร้ำ ร้องแฮ,เสนาะสนั่นนกก้อง,เกาะไม้รายวัง
สิ้นแสงสุริเยศคลุ้ม,ไพรชมัว มืดแฮ,มวลเมฆขมุกขมัว,หมอกชอุ้ม,โพล้เพล้พลบเรียมกลัว,ใจสั่น เสียวแฮ,เจริญพระพุทธมนต์กลุ้ม,กล่าวเพ้อเพื่อนตน
นางชะนีเหนี่ยวไม้,โหยครวญ,วิเวกวะหวิวหวน,โหกไห้,เสียงเย็นวิโยคยวน,เยือกจิต จริงแม่,ฟังละห้อยใจไคล้,นุชร้องวอนเรียม
ชะนีไฉนรํ่าร้อง,เรียกผัว,วอนสวาดิฤๅกลัว,บอกบ้าง,ฤๅว่าพลัดอยู่ตัว,เดียวแม่ กูเอย,ชะนีกับอกเรียมร้าง,รักไคล้เช่นกัน
